SiteID,StoreNumber,City,State,Address,MatchMethod,CoordinateDistanceMiles,CandidateCount
303666,310,Crowley,LA,729 Odd Fellows Rd,Unique store number,0,1
1339358,3631,Crowley,TX,1221 Fm 1187 E,Unique store number,0,1
794925,1413,Crystal Lake,IL,1205 S Il Route 31,Unique store number,0,1
303951,895,Cuba,MO,100 Ozark Dr,Unique store number,0,1
304927,385,Cuero,TX,1202 E Broadway St,Unique store number,0,1
302617,670,Cullman,AL,626 Olive St SW,Unique store number,0,1
2311789,7280,Cullman,AL,5601 Al Highway 157,Unique store number,0,1
2120192,4185,Cumming,GA,2395 Peachtree Pkwy,Unique store number,0,1
2573122,7185,Cumming,GA,3655 Browns Bridge Rd,Unique store number,0,1
303181,878,Cumming,GA,1500 Market Place Blvd,Unique store number,0,1
2108594,360,CUSHING,OK,3100 E Main St,Unique store number,0,1
303674,502,Cut Off,LA,16759 Highway 3235,Unique store number,0,1
303029,713,Dade City,FL,12650 Us Highway 301,Unique store number,0,1
616735,3341,Dallas,TX,2305 N Central Expy,Unique store number,0,1
1947846,3015,Dallas,TX,2827 S Buckner Blvd,Unique store number,0,1
338834,3543,Danbury,CT,67 Newtown Rd,Unique store number,0,1
305171,1465,Danville,VA,515 Mount Cross Rd,Unique store number,0,1
303351,2491,Danville,IL,4101 N Vermilion St Ste A,Unique store number,0,1
2388305,5829,Danville,VA,211 Nor Dan Dr Ste 1010,Unique store number,0,1
2333432,6476,Danville,IN,1894 Ridge Ave,Unique store number,0,1
303590,692,Danville,KY,100 Walton Ave,Unique store number,0,1
2150882,3874,Dawsonville,GA,98 Power Center Dr,Unique store number,0,1
866400,1504,Dayton,OH,8800 Kingsridge Dr,Unique store number,0,1
304403,2124,Dayton,OH,3360 Pentagon Blvd,Unique store number,0,1
304791,619,Dayton,TN,3034 Rhea County Hwy,Unique store number,0,1
2303779,1134,Defuniak Springs,FL,1226 Us Highway 331 S,Unique store number,0,1
303667,505,DeRidder,LA,1125 N Pine St,Unique store number,0,1
303952,152,De Soto,MO,12862 State Route 21,Unique store number,0,1
787673,3710,Decatur,GA,3580 Memorial Dr,Unique store number,0,1
2608048,2944,DELAND,FL,955 S Woodland Blvd,Unique store number,0,1
361845,3247,Delavan,WI,1819 E Geneva St,Unique store number,0,1
473232,3228,Delmont,PA,6700 Hollywood Blvd,Unique store number,0,1
